n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,experiment
1000000,8.99414e-05,1.84943e-05,6.8e-05,8e-05,8.9e-05,9.2e-05,0.000252,binary
2000000,9.4043e-05,1.7125e-05,7.8e-05,8.875e-05,9.2e-05,9.5e-05,0.000252,binary
4000000,9.69063e-05,1.96973e-05,7.5e-05,9.2e-05,9.4e-05,9.625e-05,0.000353,binary
8000000,0.000110328,4.54671e-05,8.4e-05,9.575e-05,9.8e-05,0.00011125,0.000765,binary
16000000,0.000104039,0.000102675,7.9e-05,8.8e-05,9.6e-05,9.9e-05,0.001594,binary
32000000,0.000198273,9.34725e-05,0.000154,0.000185,0.000192,0.00019625,0.00161,binary
64000000,0.000116551,0.000172193,9.3e-05,0.0001,0.0001025,0.000105,0.002849,binary
128000000,0.000124664,0.000129669,9.6e-05,0.000104,0.000108,0.00012,0.002168,binary
256000000,0.000118172,0.000112081,9.6e-05,0.000105,0.000107,0.00010925,0.001871,binary
512000000,0.000108793,0.000140497,8.8e-05,9.6e-05,9.8e-05,0.0001,0.002338,binary
1024000000,0.000113496,0.000173589,8.8e-05,9.475e-05,9.9e-05,0.00010225,0.002846,binary
1000000,2.45899,0.0924075,2.35809,2.39889,2.437,2.49555,3.16206,sequential
2000000,4.95499,0.276073,4.73439,4.84603,4.90979,4.99463,8.54976,sequential
4000000,9.88741,0.649827,9.54221,9.70022,9.77708,9.86758,16.8022,sequential
8000000,19.6767,0.917156,19.1441,19.3443,19.4418,19.6364,27.2558,sequential
16000000,39.3613,0.78217,38.4525,38.9805,39.2323,39.441,44.563,sequential
32000000,79.0149,1.15903,77.4661,78.4883,78.8269,79.2438,91.6705,sequential
64000000,158.651,1.89593,156.267,157.565,158.082,159.116,171.676,sequential
128000000,317.182,2.67724,313.454,315.408,316.728,318.022,336.101,sequential
256000000,635.688,6.05306,629.24,633.002,634.469,636.786,699.841,sequential
512000000,1269.8,6.85647,1259.35,1265.54,1268.57,1272.28,1312.45,sequential
1024000000,2540.02,13.3963,2521.12,2531.99,2537.32,2543.55,2607.24,sequential
1000000,0.000129016,3.04843e-05,0.000111,0.000117,0.000122,0.000134,0.000528,exponential
2000000,0.000142531,3.24803e-05,0.000116,0.000126,0.000133,0.00015,0.000532,exponential
4000000,0.000142039,7.04117e-05,0.000123,0.000127,0.000131,0.000143,0.001229,exponential
8000000,0.000146836,8.91398e-05,0.00011,0.000116,0.000123,0.00016425,0.001453,exponential
16000000,0.000156617,0.000119707,0.00013,0.000135,0.000138,0.000156,0.002021,exponential
32000000,0.000197125,0.000214144,0.00012,0.000136,0.0001545,0.0002115,0.003396,exponential
64000000,0.000166039,0.000270495,0.000125,0.00013,0.0001515,0.000158,0.004461,exponential
128000000,0.000184316,0.000367341,0.000144,0.000151,0.000154,0.000161,0.006011,exponential
256000000,0.000239574,0.00083338,0.000147,0.000152,0.000156,0.00016525,0.011924,exponential
512000000,0.000215012,0.000800124,0.000145,0.00015,0.0001575,0.00016625,0.01296,exponential
1024000000,0.000216102,0.000445485,0.000162,0.00017,0.000175,0.00018425,0.007121,exponential
