n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000000,0.0381422,0.000750299,0.0371666,0.0377591,0.0379388,0.0383806,0.0412165
20000000,0.074091,0.00501616,0.0647274,0.0715247,0.0753011,0.0763175,0.0924587
30000000,0.0979363,0.00181906,0.0966682,0.0974292,0.0977579,0.0980404,0.11174
40000000,0.133241,0.00496591,0.12979,0.131336,0.132026,0.132906,0.15537
50000000,0.169438,0.0106458,0.164936,0.16643,0.166954,0.167441,0.219926
60000000,0.204587,0.010905,0.197779,0.199778,0.202172,0.205115,0.260836
70000000,0.23432,0.00261873,0.230848,0.232895,0.234042,0.235036,0.248691
80000000,0.270137,0.00399116,0.262908,0.267153,0.271541,0.272174,0.283509
90000000,0.30442,0.00808747,0.298664,0.300742,0.303913,0.306055,0.363958
100000000,0.339567,0.0119674,0.33007,0.337543,0.338739,0.339558,0.430961
